country,sport,count
AFG,Taekwondo,2
AHO,Sailing,1
ALG,Athletics,7
ALG,Boxing,6
ALG,Judo,2
ANZ,Aquatics,11
ANZ,Athletics,1
ANZ,Boxing,1
ANZ,Rugby,15
ANZ,Tennis,1
ARG,Aquatics,3
ARG,Athletics,5
ARG,Basketball,24
ARG,Boxing,24
ARG,Cycling,2
ARG,Equestrian,1
ARG,Fencing,5
ARG,Football,72
ARG,Hockey,64
ARG,Judo,1
ARG,Polo,10
ARG,Rowing,6
ARG,Sailing,20
ARG,Shooting,1
ARG,Taekwondo,1
ARG,Tennis,6
ARG,Volleyball,12
ARG,Weightlifting,2
ARM,Boxing,1
ARM,Weightlifting,4
ARM,Wrestling,6
AUS,Aquatics,400
AUS,Archery,2
AUS,Athletics,84
AUS,Baseball,24
AUS,Basketball,60
AUS,Boxing,4
AUS,Canoe,5
AUS,"Canoe / Kayak",33
AUS,Cycling,76
AUS,Equestrian,31
AUS,Gymnastics,1
AUS,Hockey,189
AUS,Judo,2
AUS,Rowing,135
AUS,Sailing,46
AUS,Shooting,10
AUS,Softball,60
AUS,Taekwondo,2
AUS,Tennis,9
AUS,Triathlon,5
AUS,Volleyball,4
AUS,Weightlifting,4
AUS,Wrestling,3
AUT,Aquatics,15
AUT,Athletics,7
AUT,"Canoe / Kayak",21
AUT,Cycling,3
AUT,Equestrian,6
AUT,Fencing,13
AUT,Football,13
AUT,Handball,22
AUT,Judo,5
AUT,Rowing,9
AUT,Sailing,10
AUT,Shooting,8
AUT,Tennis,2
AUT,Triathlon,1
AUT,Weightlifting,9
AUT,Wrestling,2
AZE,Boxing,6
AZE,Judo,2
AZE,Shooting,3
AZE,Weightlifting,1
AZE,Wrestling,14
BAH,Athletics,23
BAH,Sailing,4
BAR,Athletics,1
BDI,Athletics,1
BEL,Aquatics,53
BEL,Archery,51
BEL,Athletics,14
BEL,Boxing,4
BEL,Cycling,40
BEL,Equestrian,25
BEL,Fencing,44
BEL,Football,25
BEL,Gymnastics,48
BEL,Hockey,15
BEL,Judo,11
BEL,Rowing,28
BEL,Sailing,19
BEL,Shooting,16
BEL,Tennis,3
BEL,"Tug of War",8
BEL,Weightlifting,4
BEL,Wrestling,3
BER,Boxing,1
BLR,Aquatics,2
BLR,Athletics,19
BLR,Boxing,2
BLR,Canoe,8
BLR,"Canoe / Kayak",10
BLR,Cycling,1
BLR,Gymnastics,25
BLR,Judo,2
BLR,"Modern Pentathlon",1
BLR,Rowing,17
BLR,Shooting,7
BLR,Tennis,3
BLR,Weightlifting,8
BLR,Wrestling,8
BOH,Athletics,1
BOH,Fencing,5
BOH,Tennis,1
BOT,Athletics,1
BRA,Aquatics,19
BRA,Athletics,21
BRA,Basketball,60
BRA,Boxing,4
BRA,Equestrian,9
BRA,Football,127
BRA,Gymnastics,1
BRA,Judo,19
BRA,"Modern Pentathlon",1
BRA,Sailing,32
BRA,Shooting,7
BRA,Taekwondo,1
BRA,Volleyball,130
BRN,Athletics,1
BUL,Aquatics,3
BUL,Athletics,18
BUL,Basketball,24
BUL,Boxing,18
BUL,"Canoe / Kayak",28
BUL,Equestrian,5
BUL,Football,32
BUL,Gymnastics,23
BUL,Judo,3
BUL,Rowing,34
BUL,Shooting,16
BUL,Tennis,1
BUL,Volleyball,24
BUL,Weightlifting,36
BUL,Wrestling,68
BWI,Athletics,5
CAN,Aquatics,119
CAN,Athletics,84
CAN,Basketball,9
CAN,Boxing,17
CAN,Canoe,3
CAN,"Canoe / Kayak",30
CAN,Cycling,17
CAN,Equestrian,16
CAN,Football,31
CAN,Golf,1
CAN,Gymnastics,8
CAN,"Ice Hockey",8
CAN,Judo,5
CAN,Lacrosse,28
CAN,Rowing,197
CAN,Sailing,25
CAN,Shooting,24
CAN,Taekwondo,2
CAN,Tennis,2
CAN,Triathlon,2
CAN,Volleyball,2
CAN,Weightlifting,3
CAN,Wrestling,16
CHI,Athletics,2
CHI,Boxing,3
CHI,Equestrian,4
CHI,Football,18
CHI,Shooting,1
CHI,Tennis,5
CHN,Aquatics,158
CHN,Archery,19
CHN,Athletics,24
CHN,Badminton,58
CHN,Basketball,24
CHN,Boxing,8
CHN,"Canoe / Kayak",4
CHN,Cycling,7
CHN,Fencing,25
CHN,Football,16
CHN,Gymnastics,113
CHN,Handball,13
CHN,Hockey,16
CHN,Judo,20
CHN,"Modern Pentathlon",1
CHN,Rowing,26
CHN,Sailing,5
CHN,Shooting,49
CHN,Softball,15
CHN,"Table Tennis",71
CHN,Taekwondo,8
CHN,Tennis,4
CHN,Volleyball,64
CHN,Weightlifting,50
CHN,Wrestling,8
CIV,Athletics,1
CMR,Athletics,2
CMR,Boxing,2
CMR,Football,18
CMR,Weightlifting,1
COL,Athletics,2
COL,Boxing,3
COL,Cycling,4
COL,Judo,1
COL,Shooting,2
COL,Taekwondo,1
COL,Weightlifting,4
COL,Wrestling,2
CRC,Aquatics,4
CRO,Aquatics,27
CRO,Athletics,2
CRO,Basketball,12
CRO,Gymnastics,1
CRO,Handball,45
CRO,Rowing,15
CRO,Shooting,2
CRO,Taekwondo,3
CRO,Tennis,5
CRO,Weightlifting,2
CUB,Aquatics,2
CUB,Athletics,58
CUB,Baseball,111
CUB,Basketball,12
CUB,Boxing,67
CUB,"Canoe / Kayak",5
CUB,Cycling,1
CUB,Fencing,24
CUB,Judo,35
CUB,Sailing,2
CUB,Shooting,4
CUB,Taekwondo,5
CUB,Volleyball,60
CUB,Weightlifting,5
CUB,Wrestling,19
CYP,Sailing,1
CZE,Athletics,11
CZE,Boxing,1
CZE,Canoe,5
CZE,"Canoe / Kayak",13
CZE,Cycling,1
CZE,"Modern Pentathlon",2
CZE,Rowing,7
CZE,Sailing,1
CZE,Shooting,9
CZE,Tennis,5
CZE,Triathlon,1
DEN,Aquatics,17
DEN,Athletics,6
DEN,Badminton,9
DEN,Boxing,12
DEN,"Canoe / Kayak",21
DEN,Cycling,43
DEN,Equestrian,11
DEN,Fencing,6
DEN,Football,48
DEN,Gymnastics,98
DEN,Handball,46
DEN,Hockey,12
DEN,Rowing,73
DEN,Sailing,64
DEN,Shooting,27
DEN,"Table Tennis",2
DEN,Tennis,1
DEN,Weightlifting,3
DEN,Wrestling,8
DJI,Athletics,1
DOM,Athletics,3
DOM,Boxing,2
DOM,Taekwondo,1
ECU,Athletics,2
EGY,Aquatics,2
EGY,Boxing,4
EGY,Fencing,1
EGY,Judo,2
EGY,Taekwondo,1
EGY,Weightlifting,11
EGY,Wrestling,7
ERI,Athletics,1
ESP,Aquatics,67
ESP,Archery,3
ESP,Athletics,11
ESP,Basketball,36
ESP,"Basque Pelota",2
ESP,Boxing,4
ESP,Canoe,3
ESP,"Canoe / Kayak",16
ESP,Cycling,18
ESP,Equestrian,11
ESP,Fencing,1
ESP,Football,48
ESP,Gymnastics,11
ESP,Handball,59
ESP,Hockey,78
ESP,Judo,6
ESP,Polo,6
ESP,Rowing,2
ESP,Sailing,33
ESP,Shooting,3
ESP,Taekwondo,4
ESP,Tennis,15
ESP,Triathlon,1
ESP,Volleyball,2
ESP,Weightlifting,1
ESP,Wrestling,1
EST,Athletics,6
EST,Boxing,1
EST,Cycling,1
EST,Judo,3
EST,Rowing,3
EST,Sailing,7
EST,Weightlifting,7
EST,Wrestling,11
ETH,Athletics,45
EUA,Aquatics,31
EUA,Athletics,42
EUA,Boxing,6
EUA,"Canoe / Kayak",22
EUA,Cycling,20
EUA,Equestrian,34
EUA,Fencing,10
EUA,Football,19
EUA,Gymnastics,8
EUA,Hockey,11
EUA,Judo,2
EUA,Rowing,38
EUA,Sailing,6
EUA,Shooting,2
EUA,Wrestling,9
EUN,Aquatics,45
EUN,Archery,4
EUN,Athletics,29
EUN,Basketball,12
EUN,Boxing,2
EUN,"Canoe / Kayak",3
EUN,Fencing,13
EUN,Gymnastics,30
EUN,Handball,25
EUN,Judo,4
EUN,"Modern Pentathlon",4
EUN,Rowing,4
EUN,Shooting,8
EUN,Tennis,3
EUN,Volleyball,12
EUN,Weightlifting,9
EUN,Wrestling,16
FIN,Aquatics,4
FIN,Archery,6
FIN,Athletics,128
FIN,Boxing,14
FIN,"Canoe / Kayak",14
FIN,Gymnastics,99
FIN,"Modern Pentathlon",11
FIN,Rowing,16
FIN,Sailing,35
FIN,Shooting,41
FIN,Skating,2
FIN,Weightlifting,3
FIN,Wrestling,83
FRA,Aquatics,110
FRA,Archery,46
FRA,Athletics,106
FRA,Basketball,38
FRA,"Basque Pelota",2
FRA,Boxing,19
FRA,Canoe,2
FRA,"Canoe / Kayak",47
FRA,Cricket,12
FRA,Croquet,8
FRA,Cycling,136
FRA,Equestrian,64
FRA,Fencing,286
FRA,Football,30
FRA,Gymnastics,52
FRA,Handball,46
FRA,Judo,44
FRA,"Modern Pentathlon",6
FRA,Rowing,96
FRA,Rugby,63
FRA,Sailing,49
FRA,Shooting,56
FRA,"Table Tennis",3
FRA,Taekwondo,6
FRA,Tennis,30
FRA,"Tug of War",6
FRA,"Water Motorsports",1
FRA,Weightlifting,15
FRA,Wrestling,17
FRG,Aquatics,62
FRG,Athletics,67
FRG,Boxing,6
FRG,"Canoe / Kayak",14
FRG,Cycling,26
FRG,Equestrian,63
FRG,Fencing,47
FRG,Football,20
FRG,Gymnastics,2
FRG,Handball,15
FRG,Hockey,66
FRG,Judo,8
FRG,Rowing,50
FRG,Sailing,14
FRG,Shooting,11
FRG,Tennis,3
FRG,Weightlifting,7
FRG,Wrestling,9
GAB,Taekwondo,1
GBR,Aquatics,142
GBR,Archery,13
GBR,Athletics,295
GBR,Badminton,4
GBR,Boxing,53
GBR,Canoe,7
GBR,"Canoe / Kayak",9
GBR,Cricket,12
GBR,Cycling,145
GBR,Equestrian,76
GBR,Fencing,24
GBR,Football,33
GBR,Golf,2
GBR,Gymnastics,46
GBR,Hockey,126
GBR,"Jeu de paume",2
GBR,Judo,18
GBR,Lacrosse,18
GBR,"Modern Pentathlon",11
GBR,Polo,25
GBR,Rackets,10
GBR,Rowing,244
GBR,Rugby,30
GBR,Sailing,134
GBR,Shooting,95
GBR,Skating,9
GBR,Taekwondo,3
GBR,Tennis,61
GBR,Triathlon,2
GBR,"Tug of War",43
GBR,"Water Motorsports",4
GBR,Weightlifting,7
GBR,Wrestling,17
GDR,Aquatics,144
GDR,Athletics,139
GDR,Boxing,13
GDR,"Canoe / Kayak",52
GDR,Cycling,32
GDR,Fencing,1
GDR,Football,51
GDR,Gymnastics,86
GDR,Handball,42
GDR,Judo,9
GDR,Rowing,183
GDR,Sailing,15
GDR,Shooting,16
GDR,Volleyball,24
GDR,Weightlifting,11
GDR,Wrestling,7
GEO,Boxing,1
GEO,Judo,6
GEO,Shooting,1
GEO,Weightlifting,2
GEO,Wrestling,15
GER,Aquatics,176
GER,Archery,6
GER,Athletics,107
GER,Boxing,22
GER,Canoe,14
GER,"Canoe / Kayak",111
GER,Cycling,65
GER,Equestrian,100
GER,Fencing,56
GER,Football,53
GER,Gymnastics,71
GER,Handball,37
GER,Hockey,141
GER,Judo,17
GER,"Modern Pentathlon",3
GER,Rowing,180
GER,Rugby,15
GER,Sailing,27
GER,Shooting,25
GER,Skating,4
GER,"Table Tennis",10
GER,Taekwondo,2
GER,Tennis,13
GER,Triathlon,2
GER,Volleyball,4
GER,Weightlifting,20
GER,Wrestling,24
GHA,Boxing,3
GHA,Football,13
GRE,Aquatics,22
GRE,Athletics,29
GRE,Cycling,4
GRE,Fencing,4
GRE,Gymnastics,21
GRE,Judo,2
GRE,Rowing,6
GRE,Sailing,14
GRE,Shooting,14
GRE,Taekwondo,4
GRE,Tennis,2
GRE,Weightlifting,15
GRE,Wrestling,11
GRN,Athletics,1
GUA,Athletics,1
GUY,Boxing,1
HAI,Athletics,1
HAI,Shooting,7
HKG,Cycling,1
HKG,Sailing,1
HKG,"Table Tennis",2
HUN,Aquatics,250
HUN,Athletics,45
HUN,Boxing,20
HUN,Canoe,14
HUN,"Canoe / Kayak",137
HUN,Equestrian,2
HUN,Fencing,227
HUN,Football,80
HUN,Gymnastics,110
HUN,Handball,45
HUN,Judo,9
HUN,"Modern Pentathlon",38
HUN,Rowing,8
HUN,Sailing,2
HUN,Shooting,17
HUN,Tennis,1
HUN,Weightlifting,20
HUN,Wrestling,54
INA,Archery,3
INA,Badminton,26
INA,Weightlifting,9
IND,Athletics,2
IND,Badminton,1
IND,Boxing,2
IND,Hockey,168
IND,Shooting,4
IND,Tennis,1
IND,Weightlifting,1
IND,Wrestling,4
IOP,Shooting,3
IRI,Athletics,1
IRI,Taekwondo,5
IRI,Weightlifting,17
IRI,Wrestling,38
IRL,Aquatics,4
IRL,Athletics,7
IRL,Boxing,16
IRL,Equestrian,1
IRL,Sailing,2
IRQ,Weightlifting,1
ISL,Athletics,2
ISL,Handball,14
ISL,Judo,1
ISR,"Canoe / Kayak",1
ISR,Judo,3
ISR,Sailing,3
ISV,Sailing,1
ITA,Aquatics,127
ITA,Archery,15
ITA,Athletics,72
ITA,Basketball,23
ITA,Boxing,47
ITA,Canoe,1
ITA,"Canoe / Kayak",22
ITA,Cycling,115
ITA,Equestrian,45
ITA,Fencing,344
ITA,Football,53
ITA,Gymnastics,109
ITA,Judo,13
ITA,"Modern Pentathlon",13
ITA,Rowing,139
ITA,Sailing,26
ITA,Shooting,35
ITA,Taekwondo,3
ITA,Tennis,1
ITA,Volleyball,59
ITA,Weightlifting,14
ITA,Wrestling,20
JAM,Athletics,126
JAM,Cycling,1
JPN,Aquatics,151
JPN,Archery,7
JPN,Athletics,26
JPN,Badminton,2
JPN,Baseball,64
JPN,Boxing,5
JPN,Cycling,6
JPN,Equestrian,1
JPN,Fencing,5
JPN,Football,34
JPN,Gymnastics,159
JPN,Hockey,11
JPN,Judo,72
JPN,Sailing,4
JPN,Shooting,6
JPN,Softball,45
JPN,"Table Tennis",3
JPN,Taekwondo,1
JPN,Tennis,3
JPN,Volleyball,108
JPN,Weightlifting,13
JPN,Wrestling,62
KAZ,Athletics,3
KAZ,Boxing,17
KAZ,Cycling,2
KAZ,Judo,1
KAZ,"Modern Pentathlon",1
KAZ,Shooting,3
KAZ,Taekwondo,1
KAZ,Weightlifting,7
KAZ,Wrestling,14
KEN,Athletics,86
KEN,Boxing,7
KGZ,Judo,1
KGZ,Wrestling,2
KOR,Aquatics,4
KOR,Archery,60
KOR,Athletics,2
KOR,Badminton,33
KOR,Baseball,48
KOR,Basketball,12
KOR,Boxing,20
KOR,Fencing,18
KOR,Football,18
KOR,Gymnastics,9
KOR,Handball,96
KOR,Hockey,48
KOR,Judo,40
KOR,Shooting,14
KOR,"Table Tennis",33
KOR,Taekwondo,14
KOR,Volleyball,12
KOR,Weightlifting,13
KOR,Wrestling,35
KSA,Athletics,1
KSA,Equestrian,5
KUW,Shooting,2
LAT,Athletics,5
LAT,"Canoe / Kayak",2
LAT,Cycling,3
LAT,Gymnastics,2
LAT,Judo,1
LAT,"Modern Pentathlon",1
LAT,Shooting,1
LAT,Volleyball,2
LAT,Weightlifting,2
LAT,Wrestling,1
LIB,Weightlifting,1
LIB,Wrestling,3
LTU,Aquatics,1
LTU,Athletics,5
LTU,Basketball,36
LTU,Boxing,1
LTU,Canoe,1
LTU,Cycling,1
LTU,"Modern Pentathlon",4
LTU,Rowing,2
LTU,Sailing,1
LTU,Shooting,1
LTU,Wrestling,2
LUX,Athletics,1
LUX,Weightlifting,1
MAR,Athletics,19
MAR,Boxing,3
MAS,Aquatics,1
MAS,Badminton,7
MDA,Boxing,2
MDA,"Canoe / Kayak",2
MDA,Shooting,1
MDA,Wrestling,1
MEX,Aquatics,18
MEX,Archery,2
MEX,Athletics,10
MEX,Basketball,11
MEX,Boxing,12
MEX,Cycling,2
MEX,Equestrian,19
MEX,Fencing,1
MEX,Football,18
MEX,Polo,4
MEX,Shooting,1
MEX,Taekwondo,6
MEX,Weightlifting,1
MEX,Wrestling,1
MGL,Boxing,6
MGL,Judo,7
MGL,Shooting,2
MGL,Wrestling,9
MKD,Wrestling,1
MNE,Handball,14
MOZ,Athletics,2
MRI,Boxing,1
NAM,Athletics,4
NED,Aquatics,142
NED,Archery,9
NED,Athletics,21
NED,Badminton,1
NED,Boxing,6
NED,"Canoe / Kayak",12
NED,Cycling,61
NED,Equestrian,56
NED,Fencing,24
NED,Football,36
NED,Gymnastics,13
NED,Hockey,249
NED,Judo,22
NED,Rowing,117
NED,Sailing,37
NED,Shooting,6
NED,Tennis,4
NED,"Tug of War",8
NED,Volleyball,24
NED,Weightlifting,3
NGR,Athletics,40
NGR,Boxing,6
NGR,Football,36
NGR,Taekwondo,1
NGR,Weightlifting,1
NIG,Boxing,1
NOR,Aquatics,2
NOR,Athletics,20
NOR,Boxing,5
NOR,Canoe,1
NOR,"Canoe / Kayak",21
NOR,Cycling,4
NOR,Equestrian,3
NOR,Fencing,1
NOR,Football,50
NOR,Gymnastics,105
NOR,Handball,72
NOR,Rowing,52
NOR,Sailing,129
NOR,Shooting,76
NOR,Skating,4
NOR,Taekwondo,2
NOR,Tennis,1
NOR,Weightlifting,1
NOR,Wrestling,5
NZL,Aquatics,6
NZL,Athletics,20
NZL,Boxing,3
NZL,Canoe,1
NZL,"Canoe / Kayak",14
NZL,Cycling,13
NZL,Equestrian,23
NZL,Hockey,16
NZL,Rowing,64
NZL,Sailing,26
NZL,Shooting,1
NZL,Triathlon,3
PAK,Boxing,1
PAK,Hockey,119
PAK,Wrestling,1
PAN,Athletics,3
PAR,Football,17
PER,Shooting,3
PER,Volleyball,12
PHI,Aquatics,2
PHI,Athletics,2
PHI,Boxing,5
POL,Aquatics,6
POL,Archery,4
POL,Athletics,69
POL,Boxing,43
POL,Canoe,2
POL,"Canoe / Kayak",32
POL,Cycling,22
POL,Equestrian,15
POL,Fencing,81
POL,Football,46
POL,Gymnastics,9
POL,Handball,14
POL,Judo,8
POL,"Modern Pentathlon",5
POL,Rowing,46
POL,Sailing,4
POL,Shooting,12
POL,Volleyball,36
POL,Weightlifting,32
POL,Wrestling,25
POR,Athletics,10
POR,Canoe,2
POR,Cycling,1
POR,Equestrian,9
POR,Judo,1
POR,Sailing,8
POR,Shooting,1
POR,Triathlon,1
PRK,Boxing,8
PRK,Gymnastics,2
PRK,Judo,8
PRK,Shooting,2
PRK,"Table Tennis",4
PRK,Volleyball,11
PRK,Weightlifting,13
PRK,Wrestling,10
PUR,Athletics,1
PUR,Boxing,6
PUR,Wrestling,1
QAT,Athletics,2
QAT,Shooting,1
QAT,Weightlifting,1
ROU,Aquatics,9
ROU,Athletics,35
ROU,Boxing,25
ROU,"Canoe / Kayak",67
ROU,Equestrian,7
ROU,Fencing,43
ROU,Gymnastics,136
ROU,Handball,58
ROU,Judo,6
ROU,Rowing,159
ROU,Rugby,23
ROU,Shooting,15
ROU,Volleyball,12
ROU,Weightlifting,13
ROU,Wrestling,32
RSA,Aquatics,24
RSA,Athletics,27
RSA,Boxing,19
RSA,Canoe,1
RSA,Cycling,16
RSA,Rowing,6
RSA,Shooting,5
RSA,Tennis,8
RU1,Rowing,1
RU1,Sailing,7
RU1,Shooting,5
RU1,Skating,1
RU1,Wrestling,3
RUS,Aquatics,148
RUS,Archery,1
RUS,Athletics,100
RUS,Badminton,2
RUS,Basketball,35
RUS,Boxing,26
RUS,Canoe,5
RUS,"Canoe / Kayak",15
RUS,Cycling,19
RUS,Fencing,47
RUS,Gymnastics,109
RUS,Handball,43
RUS,Judo,13
RUS,"Modern Pentathlon",4
RUS,Rowing,17
RUS,Sailing,3
RUS,Shooting,27
RUS,Taekwondo,3
RUS,Tennis,8
RUS,Volleyball,72
RUS,Weightlifting,24
RUS,Wrestling,47
SCG,Aquatics,13
SCG,Shooting,1
SEN,Athletics,1
SGP,"Table Tennis",4
SIN,"Table Tennis",3
SIN,Weightlifting,1
SLO,Aquatics,1
SLO,Athletics,4
SLO,"Canoe / Kayak",1
SLO,Judo,3
SLO,Rowing,12
SLO,Sailing,2
SLO,Shooting,3
SRB,Aquatics,27
SRB,Shooting,2
SRB,Taekwondo,1
SRB,Tennis,1
SRI,Athletics,2
SUD,Athletics,1
SUI,Aquatics,1
SUI,Athletics,8
SUI,"Canoe / Kayak",4
SUI,Cycling,23
SUI,Equestrian,51
SUI,Fencing,23
SUI,Football,22
SUI,Gymnastics,83
SUI,Handball,17
SUI,Judo,4
SUI,Rowing,70
SUI,Sailing,6
SUI,Shooting,40
SUI,Tennis,4
SUI,Triathlon,4
SUI,Volleyball,2
SUI,Weightlifting,4
SUI,Wrestling,14
SUR,Aquatics,2
SVK,Aquatics,2
SVK,Canoe,3
SVK,"Canoe / Kayak",22
SVK,Judo,1
SVK,Shooting,5
SVK,Wrestling,1
SWE,Aquatics,101
SWE,Archery,2
SWE,Athletics,103
SWE,Boxing,11
SWE,"Canoe / Kayak",57
SWE,Cycling,36
SWE,Equestrian,81
SWE,Fencing,26
SWE,Football,46
SWE,Gymnastics,124
SWE,Handball,62
SWE,"Modern Pentathlon",25
SWE,Rowing,10
SWE,Sailing,113
SWE,Shooting,127
SWE,Skating,6
SWE,"Table Tennis",3
SWE,Tennis,14
SWE,Triathlon,1
SWE,"Tug of War",8
SWE,Weightlifting,4
SWE,Wrestling,84
SYR,Athletics,1
SYR,Boxing,1
SYR,Wrestling,1
TAN,Athletics,2
TCH,Aquatics,2
TCH,Athletics,24
TCH,Boxing,6
TCH,"Canoe / Kayak",18
TCH,Cycling,13
TCH,Equestrian,1
TCH,Football,34
TCH,Gymnastics,78
TCH,Handball,16
TCH,Hockey,16
TCH,"Ice Hockey",8
TCH,Judo,1
TCH,"Modern Pentathlon",4
TCH,Rowing,45
TCH,Shooting,9
TCH,Tennis,7
TCH,Volleyball,24
TCH,Weightlifting,8
TCH,Wrestling,15
TGA,Boxing,1
THA,Boxing,14
THA,Taekwondo,3
THA,Weightlifting,8
TJK,Boxing,1
TJK,Judo,1
TJK,Wrestling,1
TOG,"Canoe / Kayak",1
TPE,Archery,6
TPE,Athletics,2
TPE,Baseball,20
TPE,"Table Tennis",2
TPE,Taekwondo,8
TPE,Weightlifting,6
TRI,Aquatics,1
TRI,Athletics,16
TRI,Weightlifting,3
TTO,Athletics,10
TUN,Aquatics,3
TUN,Athletics,5
TUN,Boxing,2
TUR,Athletics,5
TUR,Boxing,5
TUR,Judo,2
TUR,Taekwondo,6
TUR,Weightlifting,10
TUR,Wrestling,58
UAE,Shooting,1
UGA,Athletics,3
UGA,Boxing,4
UKR,Aquatics,11
UKR,Archery,8
UKR,Athletics,20
UKR,Boxing,14
UKR,Canoe,3
UKR,"Canoe / Kayak",6
UKR,Cycling,6
UKR,Fencing,7
UKR,Gymnastics,27
UKR,Handball,15
UKR,Judo,3
UKR,"Modern Pentathlon",1
UKR,Rowing,12
UKR,Sailing,11
UKR,Shooting,7
UKR,Weightlifting,8
UKR,Wrestling,14
URS,Aquatics,190
URS,Archery,7
URS,Athletics,238
URS,Basketball,146
URS,Boxing,51
URS,"Canoe / Kayak",87
URS,Cycling,51
URS,Equestrian,43
URS,Fencing,145
URS,Football,91
URS,Gymnastics,290
URS,Handball,85
URS,Hockey,32
URS,Judo,23
URS,"Modern Pentathlon",27
URS,Rowing,152
URS,Sailing,20
URS,Shooting,49
URS,Volleyball,144
URS,Weightlifting,62
URS,Wrestling,116
URU,Basketball,24
URU,Boxing,1
URU,Cycling,1
URU,Football,44
URU,Rowing,6
USA,Aquatics,1184
USA,Archery,55
USA,Athletics,994
USA,Baseball,68
USA,Basketball,318
USA,Boxing,111
USA,"Canoe / Kayak",21
USA,Cycling,66
USA,Equestrian,121
USA,Fencing,52
USA,Football,132
USA,Golf,27
USA,Gymnastics,178
USA,Hockey,28
USA,"Ice Hockey",11
USA,"Jeu de paume",1
USA,Judo,12
USA,Lacrosse,13
USA,"Modern Pentathlon",17
USA,Polo,9
USA,Roque,3
USA,Rowing,364
USA,Rugby,46
USA,Sailing,139
USA,Shooting,190
USA,Skating,1
USA,Softball,60
USA,Taekwondo,8
USA,Tennis,54
USA,Triathlon,1
USA,"Tug of War",15
USA,Volleyball,114
USA,Weightlifting,43
USA,Wrestling,129
UZB,Boxing,7
UZB,Gymnastics,2
UZB,Judo,4
UZB,Wrestling,7
VEN,Aquatics,1
VEN,Athletics,1
VEN,Boxing,5
VEN,Fencing,1
VEN,Shooting,1
VEN,Taekwondo,2
VEN,Weightlifting,1
VIE,Taekwondo,1
VIE,Weightlifting,1
YUG,Aquatics,91
YUG,Athletics,2
YUG,Basketball,96
YUG,Boxing,11
YUG,"Canoe / Kayak",7
YUG,Football,73
YUG,Gymnastics,18
YUG,Handball,72
YUG,Judo,2
YUG,Rowing,13
YUG,Shooting,6
YUG,"Table Tennis",4
YUG,Volleyball,24
YUG,Wrestling,16
ZAM,Athletics,1
ZAM,Boxing,1
ZIM,Aquatics,7
ZIM,Hockey,16
ZZX,Athletics,10
ZZX,Fencing,3
ZZX,Polo,12
ZZX,Rowing,3
ZZX,Tennis,14
ZZX,"Tug of War",6
